# Mysterious pattern central peak parameters
# I_baseline Intensity  Δxcam  Δycam FWHM_maj FWHM_min orientation  Δ2theta     Δchi
#      [cts]     [cts]  [pix]  [pix]    [pix]    [pix]       [deg]    [deg]    [deg]
     1305.03  11167.19  5.376  5.059    0.796    0.918        0.39 -0.00315  0.00165
     1297.31  10579.69  5.857  4.951    0.825    0.963      -11.67  0.00532 -0.01132
     1287.02   9889.37  6.119  4.939    0.821    1.040      -23.39  0.00877 -0.01838
     1288.84   9412.79  5.738  5.100    0.857    1.072      -32.78  0.00024 -0.00813
     1304.30  10336.57  5.236  5.206    0.977    0.817    -3526.77 -0.00839  0.00538
     1315.22  11299.09  5.145  5.213    0.756    0.942       -3.00 -0.00968  0.00786
     1304.04  11105.47  5.334  5.207    0.939    0.788      -91.45 -0.00724  0.00275
     1302.80  11262.41  5.600  5.174    0.776    0.935       -6.30 -0.00321 -0.00443
     1302.68  11613.29  5.626  5.170    0.765    0.926       -8.24 -0.00280 -0.00512
     1301.71  11578.99  5.594  5.192    0.769    0.928       -9.22 -0.00372 -0.00427
     1300.17  11632.82  5.531  5.175    0.776    0.928       -4.85 -0.00408 -0.00256
     1298.31  11360.36  5.496  5.090    0.783    0.933       -0.89 -0.00244 -0.00160
     1301.90  11254.17  5.443  5.064    0.784    0.947      355.84 -0.00245 -0.00017
     1301.96  10828.98  5.324  5.066    0.794    0.963       -9.70 -0.00393  0.00304
     1304.62  10618.72  5.074  5.143    0.802    0.948       -9.63 -0.00883  0.00976
     1309.92  11119.79  5.046  5.284    0.781    0.928       -8.28 -0.01259  0.01050
     1307.70  10848.37  5.277  5.380    0.788    0.925     2692.36 -0.01211  0.00424
     1310.25  12512.89  6.018  5.653    0.699    0.862       -8.06 -0.00971 -0.01581
     1314.93  12309.70  6.039  5.628    0.858    0.713       85.58 -0.00884 -0.01638
     1308.44  11870.15  6.059  5.466    0.737    0.881        0.75 -0.00470 -0.01688
     1305.29  11345.26  5.825  5.262    0.774    0.920        4.51 -0.00260 -0.01051
     1305.23  11309.69  5.659  5.151    0.781    0.937       -1.15 -0.00193 -0.00601
     1304.52  11486.44  5.660  5.152    0.763    0.936       -7.76 -0.00195 -0.00604
     1302.97  11496.97  5.525  5.196    0.927    0.793     -100.00 -0.00463 -0.00242
     1304.17  11414.88  5.398  5.214    0.925    0.782       81.27 -0.00664  0.00102
     1309.49  11177.08  5.282  5.209    0.925    0.787      -96.86 -0.00792  0.00416
     1314.98  10993.06  5.021  5.166    0.791    0.923       -4.41 -0.01005  0.01121
     1315.73  11261.61  4.936  5.194    0.764    0.924       -5.17 -0.01175  0.01350
     1315.54  11313.53  5.043  5.235    0.748    0.942       -4.14 -0.01143  0.01059
     1311.52  10936.74  5.049  5.229    0.770    0.950       -2.66 -0.01122  0.01044
     1302.90  10539.48  5.406  5.201    0.944    0.829       91.11 -0.00621  0.00080
     1307.70  11283.52  5.640  5.154    0.771    0.942       -3.22 -0.00224 -0.00550
     1307.94  11017.89  5.759  5.144    0.768    0.948       -8.53 -0.00055 -0.00872
     1306.76  11286.49  5.763  5.240    0.756    0.941      -11.35 -0.00283 -0.00885
     1308.98  11197.71  5.670  5.217    0.776    0.935       -3.81 -0.00340 -0.00634
     1308.61  11306.77  5.815  5.168    0.745    0.937       -5.18 -0.00045 -0.01023
     1309.55  11561.43  5.860  5.143    0.733    0.950       -8.03  0.00070 -0.01144
     1301.20  10701.18  5.682  5.134    0.795    0.975      -10.58 -0.00125 -0.00663
     1303.28  10768.79  5.358  5.159    0.968    0.797       81.82 -0.00577  0.00211
     1310.92  11404.91  5.277  5.142    0.945    0.755      -94.05 -0.00636  0.00429
     1306.75  11668.24  5.314  5.133    0.927    0.755      -92.96 -0.00570  0.00331
     1308.91  11839.85  5.351  5.140    0.766    0.914  -768966.20 -0.00542  0.00231
     1305.74  11402.77  5.380  5.176    0.776    0.923     -549.62 -0.00593  0.00151
     1306.51  11073.14  5.334  5.178    0.792    0.944       -8.48 -0.00653  0.00275
     1305.84  10286.84  5.096  5.155    0.825    0.966       -6.68 -0.00887  0.00917
     1311.16  10531.70  4.959  5.144    0.807    0.946     -182.98 -0.01027  0.01287
     1303.52  10968.92  5.260  5.143    0.811    0.929       -0.98 -0.00658  0.00476
     1307.61  11467.90  5.628  5.121    0.777    0.914       -4.42 -0.00159 -0.00517
     1312.33  11783.46  5.736  5.124    0.736    0.927       -7.09 -0.00035 -0.00810
     1307.12  11763.79  5.739  5.105    0.739    0.938       -6.30  0.00015 -0.00815
     1306.88  11345.62  5.671  5.031    0.762    0.951       -2.24  0.00111 -0.00632
     1298.14  10919.61  5.610  4.949    0.779    0.972       -1.90  0.00237 -0.00465
     1302.07  10782.04  5.479  4.862    0.794    0.969       -4.33  0.00287 -0.00109
     1307.89  10643.43  5.223  4.893    0.981    0.777       79.43 -0.00099  0.00582
     1310.62  11133.33  5.088  4.967    0.987    0.746       84.53 -0.00443  0.00944
     1313.88  11340.64  5.140  5.001    0.738    0.974       -2.86 -0.00460  0.00803
     1306.51  10776.51  5.318  5.047    0.784    0.971       -3.32 -0.00355  0.00321
     1298.13  10550.45  5.547  5.048    0.791    0.998       -7.19 -0.00081 -0.00297
     1295.46  10077.26  5.430  5.055    0.813    1.015     -194.29 -0.00240  0.00018
     1305.41  10294.72  5.078  5.139    0.989    0.802      253.83 -0.00870  0.00966
     1303.04  10224.37  4.858  5.206    0.819    0.955      -11.29 -0.01299  0.01558
     1315.21  11320.16  4.901  5.242    0.760    0.919       -5.62 -0.01335  0.01443
     1318.48  12002.96  4.968  5.220    0.738    0.903       -1.94 -0.01199  0.01262
